127.0.0.1 - - [13/Nov/2025 15:24:48] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:49] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:49] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:49] "GET /assets/html2canvas.min.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:49] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:49] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:49] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:49] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:49] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:51] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:51] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:53] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:53] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:55] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:55] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:55] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:55] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:55] "GET /assets/html2canvas.min.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:55] "GET /script.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:55] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:55] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:55] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:55] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:57] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:57] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:59] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:24:59] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:25:01] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:25:01] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:25:03] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:25:03] "GET /sysinfo HTTP/1.1" 200 -
127.0.0.1 - - [13/Nov/2025 15:25:05] "GET /sysinfo HTTP/1.1" 200 -
